"VEHICLE_MANUFACTURER_NAME","AVG_HP"
"aston martin","507.5"
"Audi","313.648936170213"
"Bentley","616"
"Bluecar, SAS","67"
"BMW","271.356050069541"
"FCA Italy","237"
"FCA US LLC","264.353146853147"
"Ferrari","647.75"
"FOMOCO","285.801886792453"
"GM","285.791666666667"
"Honda","209.666666666667"
"Hyundai","245.170542635659"
"Jaguar Land Rover L","360.652173913043"
"Kia","189.407407407407"
"Lamborghini","700"
"Maserati","428.4"
"MAZDA","163.860465116279"
"McLaren Automotive ","601.5"
"Mercedes-Benz","362.912442396313"
"Mitsubishi Motors Co","159"
"Nissan","269.896103896104"
"Pagani Automobili S","730"
"Porsche","395.337209302326"
"Quantum Fuel System","262"
"Rolls-Royce","516.714285714286"
"Roush","565"
"Subaru","192.945945945946"
"Tesla","417"
"Toyota","235.648093841642"
"Volkswagen","212.735294117647"
"Volkswagen Group of","261.979591836735"
"Volvo","276.63829787234"
